机型,机号,执管单位,章节号,首发日期,位置,标题,故障描述,下步措施,换件信息
A320-200,B-9977,重庆,21,2025-09-01,,PHMC-A预警通知单：组件出口温度高-右,"2025年09月02日 收到空调组件出口温度监控报文，天瞳译码显示地面高环境温度下右组件出口温度高，初步判断右组件调节性能下降。航后执行温控测试正常，检查发现右组件ACM方形封严渗漏严重，五颗钢丝螺套脱出，更换螺套，其余部件渗漏正常。修复前检查右组件出口温度5度，修复后右组件出口温度-5。
2025年09月03日 航后更换性能不佳的ACM，测试正常。",nan,2025年09月03日 部件名称：空气循环机 P/N ON:1263A0000-03 P/N OFF:1263A0000-03 S/N ON:09992 S/N OFF:09741 TSN:    TSR:   
A320-200,B-9911,大连,21,2025-08-01,,预警通知单：组件出口温度高-右,2025年08月01日 航后检查发现ACM方形封严破损，漏气严重，航后更换方形封严后，测试正常。,nan,nan
A320-200,B-8990,黑龙江,21,2025-07-28,,PHMC-A预警单：右组件压气机出口温度跳变（C类）,"2025年07月28日 QAR译码显示右组件压气机出口温度曾发生跳变现象，初步判断压气机出口温度传感器故障
2025年07月29日 更换压气机出口温度传感器，测试正常；
检查发现从初级热交换器到ACM管路 有一处封严漏气回哈更换。
2025年07月30日 更换封严，测试正常",nan,2025年07月29日 部件名称：压气机温度传感器 P/N ON:9105A0005-02 P/N OFF:9105A0005-02 S/N ON:68533 S/N OFF:52500 TSN:    TSR:   
A320-200,B-6652,大连,21,2025-07-16,,TMC下发预警通知单，右组件压气机出口温度高,2025年07月16日 航后检查有PACK组件集气室出口波纹管破损，更换波纹管；检查发现ACM方形衬圈漏气，更换衬圈，测试正常,nan,nan
A320-200,B-9913,深圳,21,2025-07-11,,11日深圳航后执行右组件出口温度高预警单，发现方形封圈漏气，ACM防冰管有裂纹,"2025年07月12日 检查ACM方形封圈固定螺套，发现有1个螺套松脱，2个螺套脱出，三个螺套连续。评估需更换ACM。
2025年07月12日 9913航材需求：ACM:1263A0000-03或1263A0000-02或1263C0000-01，数量1个
---
航材/耗材需求如下：
1、【ACM】【件号:1263A0000-03】 【数量:1】
2、【封圈】【件号:AS3582-345】 【数量:2】
3、【封圈】【件号:AS3582-244】 【数量:1】
4、【封圈】【件号:AS3582-345】 【数量:2】",nan,nan
A320-200,B-6909,吉林,21,2025-06-24,0,右PACK舱有刺耳声,"2025年06月23日 短停机组反映右PACK有刺耳声，参数正常，视频在技术值班微信金涛聊天记录；航后检查发现右PACK风扇增压腔封严缺失，到件需更换右PACK风扇增压腔
2025年06月24日 长春航后更换右PACK组件ACM，测试正常，无异响",nan,nan
A320-200,B-322F,湖南,21,2025-05-29,,PHMC-A预警通知单,"2025年05月29日 PHMC-A预警通知单:热交污染监控-右组件
2025年05月30日 5月29日航后检查了右空调组件的集气室、ACM和FCV都正常，从19报看右空调组件的全冷位的组件出口温度偏高，还需做进一步的排故工作。
2025年05月31日 计划今日更换散热器，主次散热器已订件，计划今晚到货。
2025年06月01日 5.31航后更换右组件热交换器，测试正常，完成预警单。",nan,nan
A320-200,B-6283,湖南,21,2025-05-19,,PHMC-A预警通知单（No.202501273 ）：热交污染监控-右组件,"2025年05月20日 B-6283,PHMC-A预警通知单    No.202501273热交污染监控-右组件，参考TSM TASK 21-61-00-810-829-A进行检查排故，执行温控测试查看，无故障信息，检查集气室未破损，ACM运行正常，FCV流量未见明显偏高。按预警单要求后续需更换主级热交换器和次级热交换器，次级热交换器无货已订件。MRO已开卡，后续请关注。
2025年05月21日 20日飞机外站过夜，计划回长沙航后排故。
2025年05月22日 21日广州过夜，未完成。
2025年05月23日 飞机未回长沙，计划回长航后排故。
2025年05月24日 飞机未回长沙，计划回长航后排故。
2025年05月27日 5月26日长沙航后更换右组件主级热交换器及初级热交换器后，测试正常。",无。,"2025年05月27日 部件名称：主级热交换器 P/N ON:754C0000-01 P/N OFF:754D0000-01 S/N ON:81212-60664 S/N OFF:81212-67992 TSN:15458:51 TSR:3590:24
2025年05月27日 部件名称：初级热交换器 P/N ON:753C0000-02 P/N OFF:753D0000-01 S/N ON:81211-70940 S/N OFF:81211-70587 TSN:14002：12 TSR:3590:24"
A320-200,B-1805,海口,21,2025-05-02,,PHMC-A预警单显示左组件出口温度偏高,"2025年05月03日 长春航后，委托执行温控测试，结果正常，开空调后双组件出口温度基本一致，因人力不足，外漏检查未完成，计划3日海口航后执行。
2025年05月04日 3日海口航后更换左组件出口温度传感器，检查左ACM方形封严破损，螺套己修理过。更换方形封严后仍漏气，ACM己订件。
2025年05月06日 5日更换左空调方形封严螺套脱出的ACM，测试正常无渗漏。
2025年05月07日 6日跟踪正常。",nan,nan
A320-200,B-6290,黑龙江,21,2025-04-23,,PHMC-A预警：组件出口温度高-右 （C类）,"2025年04月23日 收到空调组件出口温度监控报文，天瞳译码显示地面高环境温度下右组件出口温度高，初步判断右组件调节性能下降。
2025年04月23日 读取空调双PACK COLD位参数，检查空调舱未见明显渗漏。方形封严未见渗漏，ACM堵盖及管路正常。需订件散热器，到件更换
2025年04月25日 更换右侧主级和初级热交换器，测试正常",nan,nan
